0,1,0xc3a3fd1f,0,3
1,1,0x938c8695,1,2
2,1,0xc47114ac,1,2
3,2,0x89793be6,0,3
4,2,0x7edc48c7,1,2
5,3,0xec8544b0,0,3
6,3,0xb6ea5dcf,1,3
7,3,0x5f2125bf,1,0
8,0,0xd4ed9df7,0,1
9,2,0xa033ba7e,0,3
10,0,0xb51764c8,1,0
11,1,0x52783d51,1,4
12,2,0xc7535e35,1,0
13,2,0xeddd088d,1,2
14,0,0xb939843d,0,0
15,1,0xb81261f1,0,4
16,3,0xc01b115,1,1
17,0,0x4f1cdc76,0,0
18,0,0xee1165cf,1,1
19,3,0x12aefb94,1,4
20,1,0x50549ddb,0,4
21,0,0x4d50a141,0,0
22,2,0x6392227,0,4
23,2,0xa06a6284,0,4
24,3,0x4f06a42d,0,1
25,1,0xcd1d2f93,1,0
26,1,0x565930f5,0,1
27,1,0xfd793f7,1,4
28,3,0x7bdb0c13,0,1
29,0,0xa328a93a,0,0
30,0,0xfc513ab8,1,2
31,3,0x6c46e489,0,2
32,3,0xe7d57314,1,0
33,2,0xcf7c09cf,0,2
34,0,0x3f0166e7,0,1
35,1,0xa3b06b94,0,2
36,3,0xe26711e6,0,0
37,3,0xf262287f,0,2
38,0,0x3a2b2e18,1,4
39,1,0xb86af0e6,0,1
40,0,0x5eba96e8,0,3
41,0,0x44c7136e,1,2
42,3,0x274f03d,1,3
43,3,0xdbf9fc8e,1,4
44,1,0x8523edbe,0,0
45,1,0xde359128,1,1
46,3,0xfcceb344,1,2
47,1,0x9a188387,1,4
48,3,0x7cfa436b,1,3
49,3,0xc209340,1,4
50,2,0xd4b54a72,0,0
51,2,0x28788308,0,4
52,2,0x779d9ae1,0,3
53,0,0xf800fdb6,1,4
54,3,0xdfb14354,0,0
55,1,0xa59b5157,1,3
56,1,0x8edd2a4e,1,0
57,0,0x7ba7a365,0,3
58,3,0x7fbcc56c,1,1
59,0,0xc20944e,0,3
60,1,0x35adea2a,1,0
61,1,0xe0928e6b,1,1
62,3,0x51dfd8d0,1,2
63,0,0x8d6bae14,0,0
64,0,0x2b267c5f,1,0
65,3,0x313f2671,0,3
66,3,0x15000270,0,3
67,0,0x731fc674,1,0
68,2,0xc0acd135,1,0
69,3,0xc341a5fc,0,1
70,0,0x42045664,1,1
71,2,0x448d8a0f,0,4
72,1,0x238532d4,0,1
73,3,0xd4cd806c,0,2
74,1,0xec8545d9,0,3
75,3,0xbaf8c50e,0,0
76,0,0xfc0e27b7,1,3
77,2,0x2b5800b,1,3
